,name,piano,midi_file,audio_file,split,spectrograms_folder,pianoroll_file,duration
0,Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,Gentleman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Gentleman\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Gentleman\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.pkl,162.49569563541667
1,Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,Giant,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Giant\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Giant\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.pkl,162.49569563541667
2,Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,Grandeur,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Grandeur\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Grandeur\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\Evil_Morty_Theme_For_the_Damaged_Coda_Solo_Piano.pkl,162.49569563541667
3,PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,Gentleman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Gentleman\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Gentleman\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.pkl,227.29326870625
4,PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,Giant,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Giant\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Giant\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.pkl,227.29326870625
5,PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,Grandeur,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Grandeur\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Grandeur\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\PIANO_CHALLENGE_At_The_Speed_Of_Light_Dimrain47.pkl,227.29326870625
6,The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,Gentleman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Gentleman\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Gentleman\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.pkl,85.2633
7,The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,Giant,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Giant\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Giant\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.pkl,85.2633
8,The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,Grandeur,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Grandeur\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Grandeur\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\The_Heart_Asks_Pleasure_First-_The_Piano_-Michael_Nyman.pkl,85.2633
9,Canon_in_D_Pachebel._Piano_Version_by_AC,Gentleman,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\midi\Canon_in_D_Pachebel._Piano_Version_by_AC.mid,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\flac\Gentleman\Canon_in_D_Pachebel._Piano_Version_by_AC.flac,train,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\spectrograms\Gentleman\Canon_in_D_Pachebel._Piano_Version_by_AC,C:\Users\David\Documents\GitHub\DATASETS FOR PROJECTS\MuseSyn\features\pianoroll\Canon_in_D_Pachebel._Piano_Version_by_AC.pkl,124.0
